#um    star(nufnu) model
1.000000000000000056e-01 1.042880175258985695e-27 1.704385252430476373e-65
1.250576959999999960e-01 2.773088721438233840e-23 2.773088692721325913e-23
1.563942732999999974e-01 3.517810961561379949e-20 3.517810925132665421e-20
1.955830748000000063e-01 1.872741583986760809e-17 1.872741564593873625e-17
2.445916871000000103e-01 5.242438911729992716e-15 5.242438857442715932e-15
3.058807284999999765e-01 6.587030427562848176e-13 6.587030359353882216e-13
3.825273914999999803e-01 1.118273275306964092e-11 1.118273263795405577e-11
4.783799423000000273e-01 4.931547778281129446e-11 4.931547784838799561e-11
5.982509338999999482e-01 1.216244956370656398e-10 1.216246012003769319e-10
7.481588341999999558e-01 1.730962281705337998e-10 1.731021281747595491e-10
9.356302004000000005e-01 2.715254412172103296e-10 2.716491305501628811e-10
1.170077572000000066e+00 3.175947909126470052e-10 3.187828745938539529e-10
1.463272051999999990e+00 3.427209820323177833e-10 3.489095610237822557e-10
1.829934315000000034e+00 2.915389977123827988e-10 3.110792097467962110e-10
2.288473692000000170e+00 1.640320763798808199e-10 2.060645139944946399e-10
2.861912472999999846e+00 9.907432249202034139e-11 1.674507531221274943e-10
3.579041800000000162e+00 5.592779282587311736e-11 1.393107336939315722e-10
4.475867212999999900e+00 2.677356268405905346e-11 1.116628993786401339e-10
5.597416412000000285e+00 1.544437330020326170e-11 9.681798041481508147e-11
7.000000000000000000e+00 9.442003743054511848e-12 8.151362333125794614e-11
7.180503189000000397e+00 8.747695357757427130e-12 7.936401825547414147e-11
7.365660862999999559e+00 8.104442252051340301e-12 7.749019836209466191e-11
7.555593045000000174e+00 7.508490124772191025e-12 7.746870250885183009e-11
7.750422849999999642e+00 6.956360747438369152e-12 7.740795889167002168e-11
7.950276568999999682e+00 6.444831655960664966e-12 7.904778235290621709e-11
8.155283751000000692e+00 5.970917348128179386e-12 8.202537917140226752e-11
8.365577282000000281e+00 5.531851860198071835e-12 8.469932708135685298e-11
8.581293477999999197e+00 5.125072618046570321e-12 8.746801316053909002e-11
8.802572168999999391e+00 4.748205482717037973e-12 9.007029470970282635e-11
9.029556789000000805e+00 4.399050899883211262e-12 9.240124662580496020e-11
9.262394474000000599e+00 4.075571053367173151e-12 9.437630152847590151e-11
9.501236151000000518e+00 3.775877975521520316e-12 9.629428040649747801e-11
9.746236638999999258e+00 3.498222531465620761e-12 9.575909205426048263e-11
9.997554751999999212e+00 3.240984205430168283e-12 9.434024392169475929e-11
1.025535340000000062e+01 3.002661643691702741e-12 9.282322816485396643e-11
1.051979968000000021e+01 2.781863897496947278e-12 9.021638859589359337e-11
1.079106501999999956e+01 2.577302294348407664e-12 8.764597958011988516e-11
1.106932525999999939e+01 2.387782923645544882e-12 8.491481499537040077e-11
1.135476075999999956e+01 2.212199673193579733e-12 8.202979930530402153e-11
1.164755654000000007e+01 2.049527764579121674e-12 7.915772274126994880e-11
1.194790242000000013e+01 1.898817771231455712e-12 7.623677973887077970e-11
1.225599305999999977e+01 1.759190088309868738e-12 7.331106629417327679e-11
1.257202816999999939e+01 1.629829790876206143e-12 7.058910704499201453e-11
1.289621263000000084e+01 1.509981871748467583e-12 6.829223879424307248e-11
1.322875656000000077e+01 1.398946851689452394e-12 6.600694104578634525e-11
1.356987552000000008e+01 1.296076681665793734e-12 6.431642757485269787e-11
1.391979062999999961e+01 1.200770968274490394e-12 6.286266564862721206e-11
1.427872872000000015e+01 1.112473464602599801e-12 6.167732020058056253e-11
1.464692244000000088e+01 1.030668831659721805e-12 6.196248786463365063e-11
1.502461047000000072e+01 9.548796206531837051e-13 6.229339093863692292e-11
1.541203763000000038e+01 8.846634943797793778e-13 6.280006258974715727e-11
1.580945503999999957e+01 8.196106415405539806e-13 6.345993069101969610e-11
1.621712034000000102e+01 7.593413853014467946e-13 6.416635385505102020e-11
1.663529774999999944e+01 7.035039696393591594e-13 6.424469183313645790e-11
1.706425837000000101e+01 6.517725022933004788e-13 6.433502585087724159e-11
1.750428022999999911e+01 6.038450575937138798e-13 6.435157088996074309e-11
1.795564857000000103e+01 5.594419099355075379e-13 6.419003220868742493e-11
1.841865598000000048e+01 5.183039034838736560e-13 6.407065954973749222e-11
1.889360256999999876e+01 4.801909397373437548e-13 6.347692111823375542e-11
1.938079620999999975e+01 4.448805750881200266e-13 6.274266058771161070e-11
1.988055270999999991e+01 4.121667230967045426e-13 6.199438197402270970e-11
2.039319602000000131e+01 3.818584516143899479e-13 6.107548655231395166e-11
2.091905842999999976e+01 3.537788690396709223e-13 6.016625502187539925e-11
2.145848082999999917e+01 3.277640905061213601e-13 5.940554518852713930e-11
2.201181285999999915e+01 3.036622830144154698e-13 5.876682702698409672e-11
2.257941320000000118e+01 2.813327781180226447e-13 5.814157059548058337e-11
2.316164978000000119e+01 2.606452511644946978e-13 5.777903920393517695e-11
2.375890001999999868e+01 2.414789609481133502e-13 5.744438890031484676e-11
2.437155105000000077e+01 2.237220449473477720e-13 5.717875066217892030e-11
2.500000000000000000e+01 2.072708661934876300e-13 5.701907659010556669e-11
3.073733534000000134e+01 1.115217671429740007e-13 5.193396136588098499e-11
3.779135136000000017e+01 6.000411333263306555e-14 4.447665127566668601e-11
4.646421758999999696e+01 3.228511985858711100e-14 3.835935777334037092e-11
5.712744949999999733e+01 1.737095851607525965e-14 3.257190181567705292e-11
7.023782289999999762e+01 9.346417209988529011e-15 2.684023777357323650e-11
8.635694064999999853e+01 5.028825241121642056e-15 2.183479351937851056e-11
1.061752898000000016e+02 2.705751597897645796e-15 1.803258182093617932e-11
1.305418194000000085e+02 1.455825439371329396e-15 1.537076779335729528e-11
1.605003072000000088e+02 7.833046129930170482e-16 1.348985227119914994e-11
1.973340705999999898e+02 4.214558286706854207e-16 1.182657442416331841e-11
2.426209401000000128e+02 2.267636530753347410e-16 9.862517179322233826e-12
2.983008479000000079e+02 1.220098308130756224e-16 7.606966803689726787e-12
3.667589277999999808e+02 6.564719968650152704e-17 5.376837799346161669e-12
4.509276861999999824e+02 3.532137366688705022e-17 3.403939624445708533e-12
5.544126201999999921e+02 1.900461016228950934e-17 1.938057656703462172e-12
6.816466649999999845e+02 1.022540093571815671e-17 1.039424984471706801e-12
8.380800851000000193e+02 5.501761068853735053e-18 5.255879457969136682e-13
1.030413945000000012e+03 2.960213984511027311e-18 2.510967441636962270e-13
1.266887157999999999e+03 1.592738530311491375e-18 1.143796130569210738e-13
1.557629417000000103e+03 8.569704889449581632e-19 4.946628323791299257e-14
1.915095109000000093e+03 4.610916385683595582e-19 1.977291935959817827e-14
2.354596824000000197e+03 2.480896387836836499e-19 7.304535717515239755e-15
2.894961287000000084e+03 1.334842442586643489e-19 2.513151628519246082e-15
3.559335834999999861e+03 7.182098998307665718e-20 8.274491232379821631e-16
4.376179965999999695e+03 3.864317195188497738e-20 2.675990413567815678e-16
5.380484445000000051e+03 2.079189856401371443e-20 7.469119582001793413e-17
6.615270188000000417e+03 1.118704868032227227e-20 2.146763430460066427e-17
8.133431126000000404e+03 6.019174140620230975e-21 7.399882819440745123e-18
1.000000000000000000e+04 3.238607284117265554e-21 2.688051542659008301e-18
